Honolulu (Airport), Hawaii December Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
200107,0.14,-0.37
200108,0.06,-0.78
200109,0.28,-0.55
200110,1.06,-0.45
200111,3.91,1.66
200112,0.76,-1.40
200201,3.91,2.09
200202,0.69,-1.25
200203,2.51,0.15
200204,0.08,-0.69
200205,1.97,1.15
200206,0.07,-0.43
200207,0.13,-0.38
200208,0.27,-0.57
200209,0.10,-0.73
200210,2.11,0.60
200211,0.36,-1.89
200212,0.04,-2.12
200301,1.21,-0.61
200302,1.10,-0.84
200303,1.95,-0.41
200304,0.81,0.04
200305,0.09,-0.73
200306,0.21,-0.29
200307,0.52,0.01
200308,0.02,-0.82
200309,0.28,-0.55
200310,1.15,-0.36
200311,0.58,-1.67
200312,4.82,2.66
200401,6.88,5.06
200402,9.47,7.53
200403,0.56,-1.80
200404,0.58,-0.19
200405,1.29,0.47
200406,0.32,-0.18
200407,0.10,-0.41
200408,3.74,2.90
200409,1.02,0.19
200410,1.25,-0.26
200411,7.87,5.62
200412,5.96,3.80
200501,6.24,4.42
200502,1.29,-0.65
200503,1.88,-0.48
200504,0.64,-0.13
200505,0.27,-0.55
200506,0.28,-0.22
200507,0.29,-0.22
200508,0.10,-0.74
200509,0.91,0.08
200510,1.61,0.10
200511,1.78,-0.47
200512,0.36,-1.80
200601,1.54,-0.28
200602,2.62,0.68
200603,16.93,14.57
200604,0.76,-0.01
200605,1.11,0.29
200606,0.09,-0.41
200607,0.09,-0.42
200608,0.12,-0.72
200609,0.67,-0.16
200610,2.50,0.99
200611,2.50,0.25
200612,0.59,-1.57
200701,1.11,-0.71
200702,0.40,-1.54
200703,0.69,-1.67
200704,0.21,-0.56
200705,0.12,-0.70
200706,0.16,-0.34
200707,0.05,-0.46
200708,0.09,-0.75
200709,0.50,-0.33
200710,0.15,-1.36
200711,5.46,3.21
200712,3.09,0.93
200801,0.29,-1.53
200802,0.43,-1.51
200803,0.08,-2.28
200804,0.20,-0.57
200805,0.54,-0.28
200806,0.56,0.06
200807,0.81,0.30
200808,0.39,-0.45
200809,0.44,-0.39
200810,0.57,-0.94
200811,2.94,0.69
200812,7.59,5.43
200901,3.69,1.87
200902,0.25,-1.69
200903,2.26,-0.10
200904,0.56,-0.21
200905,0.15,-0.67
200906,0.04,-0.46
200907,0.35,-0.16
200908,0.56,-0.28
200909,0.15,-0.68
200910,1.27,-0.24
200911,1.56,-0.69
200912,0.76,-1.40
201001,0.71,-1.11
201002,0.67,-1.27
201003,0.59,-1.77
201004,0.28,-0.49
201005,1.41,0.59
201006,0.22,-0.28
201007,0.39,-0.12
201008,0.14,-0.70
201009,0.63,-0.20
201010,0.11,-1.40
201011,0.55,-1.70
201012,11.73,9.57
201101,2.87,1.05
201102,1.85,-0.09
201103,0.96,-1.40
201104,2.64,1.87
201105,3.11,2.29
201106,1.37,0.87
201107,0.59,0.08
201108,0.07,-0.77
201109,0.07,-0.76
201110,0.25,-1.26
201111,0.89,-1.36
201112,1.10,-1.06
201201,0.56,-1.26
201202,1.14,-0.80
201203,5.50,3.14
201204,0.24,-0.53
201205,0.04,-0.78
201206,0.07,-0.43
201207,0.13,-0.38
201208,0.07,-0.77
201209,0.52,-0.31
201210,0.09,-1.42
201211,0.22,-2.03
201212,0.01,-2.15
201301,2.43,0.61
201302,0.65,-1.29
201303,2.95,0.59
201304,1.75,0.98
201305,0.69,-0.13
201306,0.18,-0.32
201307,0.35,-0.16
201308,0.10,-0.74
201309,1.33,0.50
201310,0.18,-1.33
201311,1.95,-0.30
201312,3.65,1.49
201401,2.46,0.64
201402,1.23,-0.71
201403,2.61,0.25
201404,0.33,-0.44
201405,3.35,2.53
201406,0.59,0.09
201407,1.13,0.62
201408,0.56,-0.28
201409,0.58,-0.25
201410,5.52,4.01
201411,1.44,-0.81
201412,1.07,-1.09
201501,0.93,-0.89
201502,0.85,-1.09
201503,0.63,-1.73
201504,0.35,-0.42
201505,0.21,-0.61
201506,0.23,-0.27
201507,0.43,-0.08
201508,7.64,6.80
201509,4.49,3.66
201510,0.91,-0.60
201511,4.17,1.92
201512,0.28,-1.88
201601,0.03,-1.79
201602,0.40,-1.54
201603,0.22,-2.14
201604,0.22,-0.55
201605,3.17,2.35
201606,0.20,-0.30
201607,2.71,2.20
201608,1.58,0.74
201609,2.93,2.10
201610,0.13,-1.38
201611,0.73,-1.52
201612,0.88,-1.28
201701,0.21,-1.61
201702,7.12,5.18
201703,2.75,0.39
201704,3.06,2.29
201705,0.37,-0.45
201706,0.53,0.03
201707,0.02,-0.49
201708,1.85,1.01
201709,0.10,-0.73
201710,2.79,1.28
201711,0.45,-1.80
201712,3.40,1.24
201801,0.06,-1.76
201802,4.12,2.18
201803,2.57,0.21
201804,1.20,0.43
201805,0.25,-0.57
201806,0.15,-0.35
201807,0.23,-0.28
201808,1.02,0.18
201809,1.78,0.95
201810,4.63,3.12
201811,0.37,-1.88
201812,0.62,-1.54
201901,0.33,-1.49
201902,2.17,0.23
201903,0.09,-2.27
201904,0.20,-0.57
201905,0.31,-0.51
201906,5.69,5.19
201907,0.12,-0.39
201908,0.19,-0.65
201909,2.14,1.31
201910,1.15,-0.36
201911,2.58,0.33
201912,1.69,-0.47
202001,1.13,-0.69
202002,0.89,-1.05
202003,3.78,1.42
202004,2.56,1.79
202005,0.56,-0.26
202006,0.10,-0.40
202007,0.78,0.27
202008,0.13,-0.71
202009,0.11,-0.72
202010,3.20,1.69
202011,0.17,-2.08
202012,0.31,-1.85
202101,3.24,1.42
202102,1.54,-0.40
202103,4.22,1.86
202104,0.44,-0.33
202105,0.03,-0.79
202106,0.06,-0.44
202107,0.08,-0.43
202108,0.30,-0.54
202109,0.12,-0.71
202110,0.06,-1.45
202111,0.10,-2.15
202112,11.20,9.04
202201,6.34,4.52
202202,0.05,-1.89
202203,0.39,-1.97
202204,0.05,-0.72
202205,1.40,0.58
202206,0.01,-0.49
202207,0.24,-0.27
202208,0.07,-0.77
202209,0.44,-0.39
202210,0.80,-0.71
202211,0.16,-2.09
202212,2.24,0.08
202301,0.44,-1.38
202302,3.17,1.23
202303,2.65,0.29
202304,2.18,1.41
202305,0.67,-0.15
202306,0.39,-0.11
202307,0.21,-0.30
202308,0.11,-0.73
202309,0.10,-0.73
202310,0.58,-0.93
202311,2.15,-0.10
202312,0.89,-1.27
202401,2.65,0.83
202402,0.16,-1.78
